program_name,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth,c19,c10,c11,c12,c13,c14,c15,c16,c17,c18,c1,c2,c3,c4,c5,c6,c7,c8,c9
array-cav19/array_doub_access_init_const.c,21,8,4,154,10,1,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_init_both_ends_multiple_sum.c,27,9,4,179,12,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_init_pair_symmetr.c,29,10,4,194,11,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_min_and_copy_shift_sum_add.c,33,13,4,228,11,1,0,11,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/bor1.i,45,9,3,249,9,1,0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_const2.c,44,13,4,239,13,1,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_const5.c,68,19,4,341,13,1,1,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_m5.c,66,18,4,319,11,1,1,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum2.c,42,12,4,217,11,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/data_structures_set_multi_proc_ground-2.i,55,17,5,326,12,2,1,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/sanfoundry_02_ground.i,52,13,3,249,11,1,1,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/sanfoundry_10_ground.c,40,12,3,187,12,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_copyInitSum_ground.i,33,9,3,207,10,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_init1_ground-2.i,24,7,3,151,10,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_partial_init_ground.i,37,10,3,226,11,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_vararg_ground.i,28,8,3,167,10,1,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/brs1.c,38,11,4,223,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/brs3.c,38,11,4,225,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/condm.c,36,11,4,223,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn1.c,35,10,4,243,12,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn2.c,35,10,4,247,13,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn3.c,35,10,4,247,13,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/res1o.c,40,11,4,255,11,1,0,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s2lif.c,39,11,4,242,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s52if.c,44,12,4,261,11,1,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s5if.c,35,10,4,225,11,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_flag_init.i,46,11,4,235,13,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_monotonic.i,40,9,3,244,15,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_single_elem_init.i,48,10,3,226,12,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_ptr_single_elem_init-1.i,56,13,3,305,17,1,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_single_elem_init.i,49,11,3,218,12,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/break-2.i,32,9,3,169,12,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/flag_loopdep.i,46,11,4,236,13,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/flag_loopdep_simple.i,45,11,4,216,12,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/scalar_loopdep.i,33,7,3,171,11,1,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/single_elem_safe.i,55,13,3,298,17,1,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array1_pattern.c,42,11,4,236,10,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array8_pattern.c,43,12,4,252,10,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array9_pattern.c,43,12,4,252,10,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_1.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_2.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_3.c,19,8,3,147,11,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_4.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_5.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_1.c,27,12,4,204,10,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_3.c,27,13,4,214,12,1,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_5.c,27,13,4,212,11,1,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/pnr4.c,75,16,5,329,14,1,1,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/revcpyswp2.c,52,13,4,320,14,1,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rew.c,37,11,4,205,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnif.c,34,11,4,193,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnifrev.c,34,11,4,197,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnifrev2.c,31,10,4,190,13,1,0,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewrev.c,37,11,4,206,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bitvector-regression/implicitunsignedconversion-2.c,13,3,2,73,8,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label00.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label57.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label58.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label59.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label21.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label22.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label23.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label44.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label45.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label46.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label47.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem03_label05.c,1656,3070,3,17838,155,1,3060,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem03_label06.c,1656,3070,3,17838,155,1,3060,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem10_label50.c,513,954,3,5736,87,1,649,301,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem10_label51.c,513,954,3,5736,87,1,649,301,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label25.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label26.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label27.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label35.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem14_label53.c,735,1136,3,7219,124,1,783,349,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem14_label54.c,735,1136,3,7219,124,1,783,349,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-benchs/Muller_Kahan.c,18,6,3,129,11,1,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-benchs/Rump_float.c,13,4,3,168,17,0,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/double_req_bl_0220a.c,604,131,12,3105,17,2,25,64,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
