program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20/sarath/cfiles32/floats-cdfpl/sine_3.i,83.3,10,12,66.7,2,3,100.00%,TRUE,1.079999924,2,1
/home/administrator/Desktop/exp20/sarath/cfiles32/array-examples/standard_copy5_ground-2.i,0,0,0,0,0,0,5.88%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/reducercommutativity/rangesum10.i,0,0,0,0,0,0,84.62%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/reducercommutativity/rangesum40.i,0,0,0,0,0,0,84.62%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/loop-invgen/id_trans.i,73.7,14,19,50,2,4,77.78%,TRUE,2.012000084,14,2
/home/administrator/Desktop/exp20/sarath/cfiles32/verifythis/tree_max_incorrect.c,46.9,15,32,71.4,5,7,25.00%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/array-examples/standard_copy3_ground-2.i,0,0,0,0,0,0,7.69%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/ldv-regression/test22-3.c,89.7,26,29,83.3,5,6,90.00%,UNKNOWN,0.532000065,69,16
/home/administrator/Desktop/exp20/sarath/cfiles32/nla-digbench-scaling/mannadiv_unwindbound20.c,0,0,0,0,0,0,70.00%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/nla-digbench-scaling/mannadiv_unwindbound1.c,0,0,0,0,0,0,70.00%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/array-fpi/indp3f.c,14.3,3,21,25,1,4,87.50%,TRUE,0.191999912,3,17
/home/administrator/Desktop/exp20/sarath/cfiles32/loop-acceleration/array_3-2.i,0,0,0,0,0,0,85.71%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/loops-crafted-1/nested_delay_notd2.c,0,0,0,0,0,0,68.75%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/loops/trex01-1.c,0,0,0,0,0,0,58.33%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/ldv-regression/test21-2.c,0,0,0,0,0,0,50.00%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/bitvector-regression/recHanoi03-1.c,0,0,0,0,0,0,0,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/recursive-simple/id2_b3_o2.c,0,0,0,0,0,0,0,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/recursive/Fibonacci05.c,0,0,0,0,0,0,0,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/recursive/McCarthy91-1.c,81.8,9,11,66.7,2,3,100.00%,TRUE,0.256000042,34,2
/home/administrator/Desktop/exp20/sarath/cfiles32/loop-acceleration/multivar_1-2.c,0,0,0,0,0,0,50.00%,TRUE,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/float-benchs/nan_double.c,83.3,5,6,66.7,2,3,50.00%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/recursive-simple/id_b3_o2-2.c,0,0,0,0,0,0,0,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/eca-rers2012/Problem03_label09.c,54.5,823,1509,66.7,2,3,46.96%,TRUE,108.0519991,606,6
/home/administrator/Desktop/exp20/sarath/cfiles32/seq-pthread/cs_queue-2.i,0,0,0,0,0,0,41.35%,UNKNOWN,-1,633,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/loop-floats-scientific-comp/loop4.i,0,0,0,0,0,0,0,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/bitvector/s3_clnt_2.BV.c.cil-2a.c,88.5,300,339,66.7,2,3,81.14%,UNKNOWN,-1,2544,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/seq-pthread/cs_fib-2.i,0,0,0,0,0,0,0,UNKNOWN,-1,80,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/seq-mthreaded/pals_opt-floodmax.4.3.ufo.BOUNDED-8.pals.c,0,0,0,0,0,0,7.58%,UNKNOWN,-1,1264,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/heap-manipulation/dll_of_dll-2.i,0,0,0,0,0,0,8.45%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/heap-manipulation/sll_to_dll_rev-1.i,0,0,0,0,0,0,2.08%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20/sarath/cfiles32/eca-rers2012/Problem19_label14.c,57.4,4598,8016,87.5,7,8,48.82%,TRUE,250.5799911,2551,2
/home/administrator/Desktop/exp20/sarath/cfiles32/xcsp/aim-200-6-0-sat-3.c,0,0,0,0,0,0,100.00%,UNKNOWN,-1,823,-1
