program_name,branch_coverage_classifier,error_cover_classifier,branch_coverage_GA,error_cover_GA,better_coverage,better_error,is_there_verifier_call,is_there_error_call,
array-fpi/indp3f.c,87.50%,TRUE,87.50%,TRUE,,,yes,yes,
bitvector/s3_clnt_2.BV.c.cil-2a.c,85.14%,TRUE,81.14%,UNKNOWN,classifier,classifier,yes,yes,
eca-rers2012/Problem03_label09.c,46.96%,TRUE,46.96%,TRUE,,,yes,yes,
eca-rers2012/Problem19_label14.c,49.51%,TRUE,48.82%,TRUE,classifier,,yes,yes,
float-benchs/inv_Newton.c.p+cfa-reducer.c,60.00%,TRUE,20.00%,UNKNOWN,classifier,classifier,yes,yes,
float-benchs/nan_double.c,50.00%,UNKNOWN,50.00%,UNKNOWN,,,yes,yes,loc = 4
float-newlib/double_req_bl_0870a.c,3.87%,UNKNOWN,4.42%,UNKNOWN,GA,,yes,yes,
float-newlib/float_req_bl_0870a.c,5.26%,TRUE,5.26%,TRUE,,,yes,yes,
floats-cdfpl/newton_3_6.i,100.00%,TRUE,100.00%,TRUE,,,yes,yes,
floats-cdfpl/sine_3.i,80.00%,TRUE,100.00%,TRUE,GA,,yes,yes,
ldv-regression/test22-3.c,90.00%,UNKNOWN,90.00%,UNKNOWN,,,yes,yes,
list-ext-properties/list-ext.i,84.21%,TRUE,84.21%,TRUE,,,yes,yes,
loop-invgen/id_trans.i,77.78%,TRUE,77.78%,TRUE,,,yes,yes,
product-lines/email_spec1_product30.cil.c,30.28%,TRUE,30.28%,TRUE,,,yes,yes,
product-lines/email_spec3_product13.cil.c,24.19%,TRUE,24.19%,TRUE,,,yes,yes,
recursive/McCarthy91-1.c,100.00%,TRUE,100.00%,TRUE,,,yes,yes,
seq-mthreaded/pals_opt-floodmax.3.4.ufo.BOUNDED-6.pals.c,7.00%,UNKNOWN,4.00%,UNKNOWN,classifier,,yes,yes,
seq-mthreaded/pals_opt-floodmax.4.3.ufo.BOUNDED-8.pals.c,7.58%,UNKNOWN,7.58%,UNKNOWN,,,yes,yes,
seq-pthread/cs_queue-2.i,41.35%,UNKNOWN,41.35%,UNKNOWN,,,yes,yes,
verifythis/tree_max_incorrect.c,25.00%,UNKNOWN,25.00%,UNKNOWN,,,yes,yes,
xcsp/aim-200-6-0-sat-3.c,100.00%,UNKNOWN,100.00%,UNKNOWN,,,yes,yes,
xcsp/AllInterval-013.c,23.08%,UNKNOWN,19.23%,UNKNOWN,classifier,,yes,yes,
