program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,c11,86.9,654,753,79.3,23,29,73.58%,TRUE,15.723999261856079,45,2
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,c12,88.6,667,753,86.2,25,29,76.98%,TRUE,10.651999711990356,47,3
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,c61,91.6,690,753,86.2,25,29,80.75%,TRUE,57.7679979801178,184,15
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,c62,91.4,688,753,86.2,25,29,80.0%,TRUE,7.667999744415283,184,16
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,c15,91.1,686,753,86.2,25,29,78.49%,UNKNOWN,-1,59,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,c16,90.6,682,753,86.2,25,29,77.74%,UNKNOWN,-1,53,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,c65,92.2,694,753,86.2,25,29,81.51%,UNKNOWN,-1,168,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,c66,92.0,693,753,86.2,25,29,80.38%,UNKNOWN,-1,150,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,c15,78.0,379,486,88.2,15,17,49.5%,UNKNOWN,-1,21,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,c16,78.6,382,486,88.2,15,17,50.0%,UNKNOWN,-1,21,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,c65,84.2,409,486,88.2,15,17,65.5%,UNKNOWN,-1,59,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,c66,84.4,410,486,88.2,15,17,65.5%,UNKNOWN,-1,59,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,c17,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,54,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,c18,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,77,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,c67,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,177,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,c68,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,161,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,c17,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,52,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,c18,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,73,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,c67,74.9,304,406,33.3,2,6,75.36%,UNKNOWN,-1,135,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,c68,74.6,303,406,33.3,2,6,74.41%,UNKNOWN,-1,115,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,c11,72.5,300,414,33.3,2,6,68.49%,UNKNOWN,-1,56,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,c12,72.2,299,414,33.3,2,6,68.49%,UNKNOWN,-1,63,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,c61,72.5,300,414,33.3,2,6,69.41%,UNKNOWN,-1,136,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,c62,72.5,300,414,33.3,2,6,69.86%,UNKNOWN,-1,126,-1
