program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-1.c,cmp,84.2,898,1066,93.1,27,29,65.76%,TRUE,19.44000006,69,2
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-1.c,nil,52,554,1066,75.9,22,29,31.79%,UNKNOWN,-1,18,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-1.c,laf,86.8,925,1066,93.1,27,29,68.75%,TRUE,322.3240001,207,4
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-1.c,cmp_laf,86.4,921,1066,93.1,27,29,68.75%,TRUE,111.408,201,7
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,cmp,86,915,1064,93.1,27,29,66.12%,UNKNOWN,-1,81,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,nil,51.1,544,1064,75.9,22,29,31.15%,UNKNOWN,-1,28,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,laf,86,915,1064,93.1,27,29,68.03%,UNKNOWN,-1,242,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,cmp_laf,86.4,919,1064,93.1,27,29,68.31%,UNKNOWN,-1,259,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/diskperf_simpl1.cil.c,cmp,83.8,444,530,88.5,23,26,66.08%,UNKNOWN,-1,46,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/diskperf_simpl1.cil.c,nil,77.7,412,530,88.5,23,26,58.48%,UNKNOWN,-1,36,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/diskperf_simpl1.cil.c,laf,82.8,439,530,88.5,23,26,63.74%,UNKNOWN,-1,380,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/diskperf_simpl1.cil.c,cmp_laf,82.1,435,530,88.5,23,26,63.16%,UNKNOWN,-1,417,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,cmp,84.6,449,531,76,19,25,69.61%,TRUE,6.440000057,21,2
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,nil,89.1,473,531,84,21,25,76.80%,TRUE,9.768000126,20,3
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,laf,85.7,455,531,76,19,25,71.82%,TRUE,11.15600014,57,7
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,cmp_laf,89.8,477,531,84,21,25,75.14%,TRUE,5.844000101,66,11
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,cmp,87.3,469,537,80.8,21,26,72.38%,UNKNOWN,-1,21,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,nil,88.1,473,537,80.8,21,26,73.48%,UNKNOWN,-1,22,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,laf,89.8,482,537,80.8,21,26,77.90%,UNKNOWN,-1,67,-1
/home/administrator/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,cmp_laf,89.6,481,537,80.8,21,26,76.24%,UNKNOWN,-1,71,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,cmp,86.9,654,753,79.3,23,29,73.58%,TRUE,15.72399926,45,2
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,nil,88.6,667,753,86.2,25,29,76.98%,TRUE,10.65199971,47,3
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,laf,91.6,690,753,86.2,25,29,80.75%,TRUE,57.76799798,184,15
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,cmp_laf,91.4,688,753,86.2,25,29,80.00%,TRUE,7.667999744,184,16
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,cmp,91.1,686,753,86.2,25,29,78.49%,UNKNOWN,-1,59,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,nil,90.6,682,753,86.2,25,29,77.74%,UNKNOWN,-1,53,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,laf,92.2,694,753,86.2,25,29,81.51%,UNKNOWN,-1,168,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,cmp_laf,92,693,753,86.2,25,29,80.38%,UNKNOWN,-1,150,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,cmp,78,379,486,88.2,15,17,49.50%,UNKNOWN,-1,21,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,nil,78.6,382,486,88.2,15,17,50.00%,UNKNOWN,-1,21,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,laf,84.2,409,486,88.2,15,17,65.50%,UNKNOWN,-1,59,-1
/home/sarath/Desktop/exp20_equality/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,cmp_laf,84.4,410,486,88.2,15,17,65.50%,UNKNOWN,-1,59,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,cmp,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,54,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,nil,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,77,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,laf,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,177,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,cmp_laf,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,161,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,cmp,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,52,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,nil,74.9,304,406,33.3,2,6,74.88%,UNKNOWN,-1,73,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,laf,74.9,304,406,33.3,2,6,75.36%,UNKNOWN,-1,135,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,cmp_laf,74.6,303,406,33.3,2,6,74.41%,UNKNOWN,-1,115,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,cmp,72.5,300,414,33.3,2,6,68.49%,UNKNOWN,-1,56,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,nil,72.2,299,414,33.3,2,6,68.49%,UNKNOWN,-1,63,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,laf,72.5,300,414,33.3,2,6,69.41%,UNKNOWN,-1,136,-1
/home/sarath/Desktop/exp20_equality/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,cmp_laf,72.5,300,414,33.3,2,6,69.86%,UNKNOWN,-1,126,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label47.c,cmp,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,176,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label47.c,nil,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,186,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label47.c,laf,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,232,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label47.c,cmp_laf,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,208,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label25.c,cmp,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,316,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label25.c,nil,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,316,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label25.c,laf,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,355,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label25.c,cmp_laf,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,387,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label27.c,cmp,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,306,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label27.c,nil,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,341,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label27.c,laf,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,372,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label27.c,cmp_laf,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,362,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label35.c,cmp,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,317,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label35.c,nil,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,328,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label35.c,laf,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,364,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem11_label35.c,cmp_laf,61.9,486,785,66.7,2,3,56.83%,UNKNOWN,-1,349,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem14_label54.c,cmp,94.2,614,652,66.7,2,3,85.00%,TRUE,501.3320127,148,8
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem14_label54.c,nil,94.2,614,652,66.7,2,3,85.00%,TRUE,168.8360043,144,9
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem14_label54.c,laf,94.2,614,652,66.7,2,3,85.00%,TRUE,315.7600079,184,8
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem14_label54.c,cmp_laf,94.2,614,652,66.7,2,3,85.00%,TRUE,280.824007,171,8
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label58.c,cmp,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,355,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label58.c,nil,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,343,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label58.c,laf,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,363,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label58.c,cmp_laf,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,338,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label59.c,cmp,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,337,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label59.c,nil,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,327,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label59.c,laf,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,362,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem01_label59.c,cmp_laf,82.9,406,490,66.7,2,3,56.77%,UNKNOWN,-1,328,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label21.c,cmp,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,202,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label21.c,nil,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,203,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label21.c,laf,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,206,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label21.c,cmp_laf,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,206,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label22.c,cmp,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,214,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label22.c,nil,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,201,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label22.c,laf,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,212,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label22.c,cmp_laf,46.6,230,494,66.7,2,3,30.32%,UNKNOWN,-1,198,-1
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label45.c,cmp,46.4,229,494,66.7,2,3,30.32%,TRUE,16.07200003,191,3
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label45.c,nil,46.4,229,494,66.7,2,3,30.32%,TRUE,21.48799992,197,4
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label45.c,laf,46.4,229,494,66.7,2,3,30.32%,TRUE,11.40400004,197,5
/home/administrator/Desktop/exp20_equality/cfiles32/eca-rers2012/Problem02_label45.c,cmp_laf,46.4,229,494,66.7,2,3,30.32%,TRUE,10.29999995,210,7
/home/administrator/Desktop/exp20_equality/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,cmp,92.2,3934,4269,31.6,6,19,79.23%,UNKNOWN,-1,1672,-1
