program_name,configuration,branch_coverage,error_cover,
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,cmp,87.85,TRUE,8785
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,nil,88.41,TRUE,8841
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,laf,88.41,TRUE,8841
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,cmp_laf,88.3,TRUE,8830
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,cmp,81.72,UNKNOWN,8172
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,nil,81.62,UNKNOWN,8162
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,laf,81.62,UNKNOWN,8162
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,cmp_laf,81.62,UNKNOWN,8162
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,cmp,81.64,UNKNOWN,8164
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,nil,81.54,UNKNOWN,8154
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,laf,81.54,UNKNOWN,8154
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,cmp_laf,81.54,UNKNOWN,8154
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,cmp,79.15,UNKNOWN,7915
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,nil,79.15,UNKNOWN,7915
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,laf,79.15,UNKNOWN,7915
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,cmp_laf,79.15,UNKNOWN,7915
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,cmp,79.23,UNKNOWN,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,nil,79.23,UNKNOWN,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,laf,79.23,UNKNOWN,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,cmp_laf,79.33,UNKNOWN,7933
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,cmp,79.33,UNKNOWN,7933
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,nil,79.33,UNKNOWN,7933
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,laf,79.23,UNKNOWN,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,cmp_laf,79.23,UNKNOWN,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,cmp,79.23,TRUE,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,nil,79.23,TRUE,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,laf,79.23,TRUE,7923
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,cmp_laf,79.23,TRUE,7923
eca-rers2012/Problem01_label58.c,cmp,56.77,UNKNOWN,5677
eca-rers2012/Problem01_label58.c,nil,56.77,UNKNOWN,5677
eca-rers2012/Problem01_label58.c,laf,56.77,UNKNOWN,5677
eca-rers2012/Problem01_label58.c,cmp_laf,56.77,UNKNOWN,5677
eca-rers2012/Problem01_label59.c,cmp,56.77,UNKNOWN,5677
