program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/skipped.c,c2,95.2,20,21,75.0,3,4,88.89%,UNKNOWN,-1,140,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/skipped.c,c51,95.2,20,21,75.0,3,4,88.89%,UNKNOWN,-1,382,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/tcpy.c,c2,95.0,19,20,75.0,3,4,85.71%,UNKNOWN,-1,34,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/array-tiling/tcpy.c,c51,95.0,19,20,75.0,3,4,85.71%,UNKNOWN,-1,38,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/gcd_1.c,c2,90.0,18,20,75.0,3,4,60.0%,UNKNOWN,-1,3,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/gcd_1.c,c51,90.0,18,20,75.0,3,4,70.0%,UNKNOWN,-1,4,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/num_conversion_2.c,c2,88.2,15,17,66.7,2,3,83.33%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/num_conversion_2.c,c51,88.2,15,17,66.7,2,3,83.33%,UNKNOWN,-1,1,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_1-1.c.cil.c,c2,69.2,117,169,66.7,4,6,68.42%,UNKNOWN,-1,209,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_1-1.c.cil.c,c51,69.2,117,169,66.7,4,6,68.42%,UNKNOWN,-1,241,-1
