program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/sarath/Desktop/exp20_without_equality/cfiles32/float-newlib/float_req_bl_0660a.c,c2,17.6,21,119,40.0,2,5,1.43%,UNKNOWN,-1,2,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/float-newlib/float_req_bl_0660a.c,c51,17.6,21,119,40.0,2,5,12.86%,UNKNOWN,-1,6,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/float-newlib/float_req_bl_0661b.c,c2,17.6,21,119,40.0,2,5,1.43%,UNKNOWN,-1,2,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/float-newlib/float_req_bl_0661b.c,c51,17.6,21,119,40.0,2,5,14.29%,UNKNOWN,-1,6,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/floats-cdfpl/sine_4.i,c2,83.3,10,12,66.7,2,3,60.0%,UNKNOWN,-1,2,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/floats-cdfpl/sine_4.i,c51,83.3,10,12,66.7,2,3,60.0%,UNKNOWN,-1,24,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/ldv-regression/test22-2.c,c2,87.5,21,24,80.0,4,5,75.0%,UNKNOWN,0.28800010681152344,3,1
/home/sarath/Desktop/exp20_without_equality/cfiles32/ldv-regression/test22-2.c,c51,87.5,21,24,80.0,4,5,87.5%,UNKNOWN,0.7119998931884766,7,16
/home/sarath/Desktop/exp20_without_equality/cfiles32/loop-floats-scientific-comp/loop2-2.c,c2,96.0,24,25,75.0,3,4,80.0%,UNKNOWN,-1,11,-1
/home/sarath/Desktop/exp20_without_equality/cfiles32/loop-floats-scientific-comp/loop2-2.c,c51,96.0,24,25,75.0,3,4,80.0%,UNKNOWN,-1,100,-1
