program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,c2,67.4,97,144,77.8,7,9,66.04%,TRUE,0.9079999923706056,227,1
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,c51,67.4,97,144,77.8,7,9,66.04%,TRUE,30.95200061798096,256,5
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/square_2+soft_float_2a.c.cil.c,c2,72.3,107,148,77.8,7,9,66.67%,UNKNOWN,388.7160098552704,247,1
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/square_2+soft_float_2a.c.cil.c,c51,72.3,107,148,77.8,7,9,70.18%,TRUE,33.07200074195862,244,5
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/square_2+soft_float_4-2a.c.cil.c,c2,67.4,97,144,77.8,7,9,66.04%,TRUE,1.5279998779296875,221,1
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/square_2+soft_float_4-2a.c.cil.c,c51,67.4,97,144,77.8,7,9,64.15%,TRUE,11.604000329971312,249,5
/home/administrator/Desktop/exp20_without_equality/cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,c2,96.3,26,27,87.5,7,8,90.0%,UNKNOWN,-1.0,7,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,c51,96.3,26,27,87.5,7,8,90.0%,UNKNOWN,-1.0,47,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/float-newlib/double_req_bl_0660b.c,c2,19.0,24,126,40.0,2,5,12.68%,UNKNOWN,-1.0,2,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/float-newlib/double_req_bl_0660b.c,c51,19.0,24,126,40.0,2,5,12.68%,UNKNOWN,-1.0,12,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_1-2.c.cil.c,c2,69.9,121,173,71.4,5,7,69.23%,UNKNOWN,-1.0,222,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_1-2.c.cil.c,c51,69.9,121,173,71.4,5,7,69.23%,UNKNOWN,-1.0,240,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_4-1.c.cil.c,c2,63.8,81,127,66.7,4,6,59.09%,UNKNOWN,-1.0,204,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_4-1.c.cil.c,c51,63.8,81,127,66.7,4,6,59.09%,UNKNOWN,-1.0,239,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_5a.c.cil.c,c2,69.7,92,132,66.7,4,6,66.0%,UNKNOWN,-1.0,229,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/bitvector/soft_float_5a.c.cil.c,c51,69.7,92,132,66.7,4,6,66.0%,UNKNOWN,-1.0,227,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/gcd_1+newton_1_2.i,c2,92.1,35,38,88.9,8,9,75.0%,UNKNOWN,-1.0,5,-1
/home/administrator/Desktop/exp20_without_equality/cfiles32/combinations/gcd_1+newton_1_2.i,c51,92.1,35,38,88.9,8,9,75.0%,UNKNOWN,-1.0,25,-1
