program_name,configuration,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,nil,67.4,97,144,77.8,7,9,66.04%,TRUE,0.907999992,227,1
cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,laf,67.4,97,144,77.8,7,9,66.04%,TRUE,30.95200062,256,5
cfiles32/combinations/square_2+soft_float_2a.c.cil.c,nil,72.3,107,148,77.8,7,9,66.67%,UNKNOWN,388.7160099,247,1
cfiles32/combinations/square_2+soft_float_2a.c.cil.c,laf,72.3,107,148,77.8,7,9,70.18%,TRUE,33.07200074,244,5
cfiles32/combinations/square_2+soft_float_4-2a.c.cil.c,nil,67.4,97,144,77.8,7,9,66.04%,TRUE,1.527999878,221,1
cfiles32/combinations/square_2+soft_float_4-2a.c.cil.c,laf,67.4,97,144,77.8,7,9,64.15%,TRUE,11.60400033,249,5
cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,nil,96.3,26,27,87.5,7,8,90.00%,UNKNOWN,-1,7,-1
cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,laf,96.3,26,27,87.5,7,8,90.00%,UNKNOWN,-1,47,-1
cfiles32/float-newlib/double_req_bl_0660b.c,nil,19,24,126,40,2,5,12.68%,UNKNOWN,-1,2,-1
cfiles32/float-newlib/double_req_bl_0660b.c,laf,19,24,126,40,2,5,12.68%,UNKNOWN,-1,12,-1
cfiles32/bitvector/soft_float_1-2.c.cil.c,nil,69.9,121,173,71.4,5,7,69.23%,UNKNOWN,-1,222,-1
cfiles32/bitvector/soft_float_1-2.c.cil.c,laf,69.9,121,173,71.4,5,7,69.23%,UNKNOWN,-1,240,-1
cfiles32/bitvector/soft_float_4-1.c.cil.c,nil,63.8,81,127,66.7,4,6,59.09%,UNKNOWN,-1,204,-1
cfiles32/bitvector/soft_float_4-1.c.cil.c,laf,63.8,81,127,66.7,4,6,59.09%,UNKNOWN,-1,239,-1
cfiles32/bitvector/soft_float_5a.c.cil.c,nil,69.7,92,132,66.7,4,6,66.00%,UNKNOWN,-1,229,-1
cfiles32/bitvector/soft_float_5a.c.cil.c,laf,69.7,92,132,66.7,4,6,66.00%,UNKNOWN,-1,227,-1
