program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
cfiles32/array-fpi/brs1f.c,16.7,3,18,25.0,1,4,92.31%,1.687999963760376,3,9
cfiles32/array-fpi/condmf.c,15.8,3,19,25.0,1,4,85.71%,0.124000072479248,3,10
cfiles32/array-industry-pattern/array_of_struct_ptr_mul_init.i,0.0,0,0,0.0,0,0,45.45%,-1.0,75,-1
cfiles32/array-lopstr16/break-1.i,66.7,8,12,33.3,1,3,54.55%,-1.0,4,-1
cfiles32/array-tiling/mlceu.c,88.2,15,17,75.0,3,4,100.0%,33.49199914932251,36,1
cfiles32/array-tiling/skipped.c,95.2,20,21,75.0,3,4,88.89%,-1.0,85,-1
cfiles32/array-tiling/skippedu.c,95.2,20,21,75.0,3,4,94.44%,14.279999494552612,91,9
cfiles32/array-tiling/tcpy.c,95.0,19,20,75.0,3,4,85.71%,-1.0,38,-1
cfiles32/bitvector/gcd_1.c,90.0,18,20,75.0,3,4,70.0%,-1.0,4,-1
cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1.0,1,-1
cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,89.5,323,361,66.7,2,3,78.8%,-1.0,214,-1
cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,84.7,327,386,66.7,2,3,74.11%,-1.0,176,-1
cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,86.3,308,357,66.7,2,3,82.61%,-1.0,188,-1
cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.5,306,358,66.7,2,3,79.89%,-1.0,169,-1
cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,85.7,306,357,66.7,2,3,82.07%,-1.0,187,-1
cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,84.9,304,358,66.7,2,3,78.26%,-1.0,230,-1
cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,64.47%,-1.0,77,-1
cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,69.23%,-1.0,72,-1
cfiles32/bitvector/soft_float_1-2a.c.cil.c,69.4,118,170,66.7,4,6,62.82%,-1.0,76,-1
cfiles32/bitvector/soft_float_4-1.c.cil.c,63.8,81,127,66.7,4,6,59.09%,-1.0,69,-1
cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,60.87%,-1.0,72,-1
cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,54.0%,-1.0,78,-1
cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,78,-1
cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,75.0%,-1.0,23,-1
cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,75.0%,-1.0,26,-1
cfiles32/combinations/gcd_1+newton_1_4.i,92.1,35,38,88.9,8,9,81.25%,12.011999607086182,24,6
cfiles32/combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,95.6,3925,4107,42.9,6,14,87.61%,321.5079913139343,1448,2
cfiles32/combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,95.5,3922,4106,42.9,6,14,88.18%,-1.0,1443,-1
cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label06.c,95.7,3931,4108,40.0,6,15,87.63%,79.51199769973755,1481,13
cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label07.c,95.7,3932,4108,40.0,6,15,88.41%,178.0679953098297,1447,6
cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,95.7,3932,4108,40.0,6,15,87.74%,89.15199756622314,1422,18
cfiles32/combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,93.0,3931,4227,33.3,6,18,81.41%,-1.0,1352,-1
