program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_GA/cfiles32/array-fpi/brs1f.c,16.7,3,18,25.0,1,4,92.31%,1.2799999713897705,3,8
/home/administrator/Desktop/exp500_GA/cfiles32/array-fpi/condmf.c,15.8,3,19,25.0,1,4,85.71%,0.12800002098083496,3,8
/home/administrator/Desktop/exp500_GA/cfiles32/array-industry-pattern/array_of_struct_ptr_mul_init.i,0,0,0,0,0,0,45.45%,-1,72,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-lopstr16/break-1.i,66.7,8,12,33.3,1,3,54.55%,-1,3,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/mlceu.c,88.2,15,17,75.0,3,4,100.0%,42.44399857521057,41,1
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/skipped.c,95.2,20,21,75.0,3,4,88.89%,-1,96,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/skippedu.c,95.2,20,21,75.0,3,4,94.44%,4.175999879837036,105,9
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/tcpy.c,95.0,19,20,75.0,3,4,85.71%,-1,36,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/gcd_1.c,90.0,18,20,75.0,3,4,70.0%,-1,4,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1,1,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,88.4,319,361,66.7,2,3,75.0%,-1,196,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,83.7,323,386,66.7,2,3,72.08%,-1,204,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,85.2,304,357,66.7,2,3,78.8%,-1,191,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.5,306,358,66.7,2,3,81.52%,-1,201,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,86.0,307,357,66.7,2,3,82.07%,-1,201,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,85.5,306,358,66.7,2,3,79.89%,-1,179,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,68.42%,-1,74,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,66.67%,-1,80,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_1-2a.c.cil.c,69.4,118,170,66.7,4,6,66.67%,-1,70,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_4-1.c.cil.c,63.8,81,127,66.7,4,6,59.09%,-1,72,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,58.7%,-1,72,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1,79,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,64.0%,-1,83,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,75.0%,-1,23,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,75.0%,-1,26,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/gcd_1+newton_1_4.i,92.1,35,38,88.9,8,9,43.75%,47.243998527526855,25,5
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,95.5,3924,4107,42.9,6,14,88.06%,796.5199718475342,1385,1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,95.8,3933,4106,42.9,6,14,88.4%,-1,1355,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label06.c,95.6,3929,4108,40.0,6,15,88.19%,22.999999046325684,1383,12
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label07.c,95.6,3927,4108,40.0,6,15,88.3%,17.155999183654785,1368,12
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,95.6,3927,4108,40.0,6,15,88.19%,112.95199584960938,1387,17
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,93.0,3929,4227,33.3,6,18,81.41%,-1,1377,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,93.1,3933,4226,33.3,6,18,81.43%,-1,1418,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label02.c,93.0,3930,4226,33.3,6,18,81.43%,-1,1285,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label04.c,92.9,3925,4226,33.3,6,18,81.43%,-1,1391,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label07.c,92.9,3927,4226,33.3,6,18,81.31%,92.16799688339233,1366,7
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label08.c,92.6,3915,4226,33.3,6,18,80.89%,219.3119924068451,1355,12
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label09.c,93.1,3934,4226,33.3,6,18,81.62%,-1,1354,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label04.c,93.1,3932,4223,33.3,6,18,80.98%,-1,1325,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label05.c,93.0,3927,4223,33.3,6,18,80.98%,-1,1386,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label09.c,92.9,3924,4223,33.3,6,18,80.98%,-1,1304,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label01.c,92.0,3928,4270,31.6,6,19,79.03%,-1,1448,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label02.c,92.1,3934,4270,31.6,6,19,79.23%,-1,1367,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label04.c,92.0,3929,4270,31.6,6,19,78.63%,-1,1333,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label05.c,92.1,3933,4270,31.6,6,19,79.13%,-1,1401,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label09.c,91.9,3923,4270,31.6,6,19,79.03%,-1,1350,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label02.c,92.0,3929,4269,31.6,6,19,79.05%,-1,1306,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label04.c,92.1,3930,4269,31.6,6,19,79.05%,-1,1415,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label05.c,92.0,3926,4269,31.6,6,19,78.95%,-1,1323,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,92.2,3934,4269,31.6,6,19,78.65%,-1,1455,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label00.c,92.0,3928,4269,31.6,6,19,79.13%,99.23599648475647,1359,7
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,92.2,3934,4269,31.6,6,19,79.23%,-1,1404,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,92.2,3934,4269,31.6,6,19,79.33%,-1,1374,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,92.0,3928,4269,31.6,6,19,79.13%,30.147998809814453,1427,3
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label43+token_ring.13.cil-1.c,57.0,6506,11409,96.3,52,54,50.7%,40.047998666763306,1612,1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,56.5,6327,11196,95.7,44,46,48.9%,-1,1522,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,54.7,5932,10837,93.8,30,32,45.64%,22.39199924468994,1561,1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,56.8,6278,11045,95.0,38,40,49.38%,51.90799808502197,1549,1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label49+token_ring.07.cil-1.c,57.5,6382,11092,95.2,40,42,49.61%,-1,1622,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label49+token_ring.10.cil-2.c,55.5,6239,11248,95.8,46,48,47.2%,-1,1517,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/Problem05_label49+token_ring.13.cil-1.c,57.6,6572,11409,96.3,52,54,51.23%,71.48399758338928,1553,1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/square_1+soft_float_4-2a.c.cil.c,67.4,97,144,77.8,7,9,66.04%,2.9240000247955322,80,5
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/square_2+soft_float_1-2a.c.cil.c,71.5,133,186,77.8,7,9,71.76%,14.619999408721924,74,6
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/square_2+soft_float_2a.c.cil.c,72.3,107,148,77.8,7,9,68.42%,29.999999046325684,86,5
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/square_2+soft_float_4-2a.c.cil.c,67.4,97,144,77.8,7,9,66.04%,22.299999237060547,78,5
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/square_3+soft_float_4-2a.c.cil.c,67.4,97,144,77.8,7,9,66.04%,8.09999966621399,78,4
/home/administrator/Desktop/exp500_GA/cfiles32/eca-rers2012/Problem16_label06.c,97.3,1370,1408,75.0,3,4,90.79%,210.71199250221252,411,1
/home/administrator/Desktop/exp500_GA/cfiles32/eca-rers2012/Problem16_label07.c,97.4,1371,1408,75.0,3,4,90.79%,-1,420,-1
/home/administrator/Desktop/exp500_GA/cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,96.3,26,27,87.5,7,8,90.0%,-1,30,-1
/home/administrator/Desktop/exp500_GA/cfiles32/float-newlib/double_req_bl_0660b.c,19.0,24,126,40.0,2,5,12.68%,-1,8,-1
/home/administrator/Desktop/exp500_GA/cfiles32/float-newlib/float_req_bl_0660a.c,17.6,21,119,40.0,2,5,12.86%,-1,5,-1
/home/administrator/Desktop/exp500_GA/cfiles32/float-newlib/float_req_bl_0661a.c,17.6,21,119,40.0,2,5,12.86%,-1,5,-1
/home/administrator/Desktop/exp500_GA/cfiles32/float-newlib/float_req_bl_0661b.c,17.6,21,119,40.0,2,5,14.29%,-1,7,-1
/home/administrator/Desktop/exp500_GA/cfiles32/floats-cdfpl/sine_4.i,83.3,10,12,66.7,2,3,60.0%,-1,22,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ldv-regression/test22-2.c,87.5,21,24,80.0,4,5,87.5%,0.12800002098083496,6,6
/home/administrator/Desktop/exp500_GA/cfiles32/loop-floats-scientific-comp/loop2-2.c,96.0,24,25,75.0,3,4,80.0%,-1,54,-1
/home/administrator/Desktop/exp500_GA/cfiles32/loop-invariants/linear-inequality-inv-a.c,73.7,14,19,50.0,1,2,75.0%,-1,12,-1
/home/administrator/Desktop/exp500_GA/cfiles32/loop-invgen/fragtest_simple.i,83.3,25,30,50.0,2,4,73.33%,-1,41,-1
/home/administrator/Desktop/exp500_GA/cfiles32/loop-invgen/nest-if3.i,73.7,14,19,50.0,2,4,76.47%,-1,100,-1
/home/administrator/Desktop/exp500_GA/cfiles32/loop-lit/hhk2008.i,75.0,15,20,50.0,2,4,63.64%,-1,8,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-1.c,84.1,897,1066,86.2,25,29,63.32%,-1,253,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,84.3,897,1064,86.2,25,29,64.21%,-1,259,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/diskperf_simpl1.cil.c,83.6,443,530,88.5,23,26,64.91%,-1,101,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,90.4,480,531,84.0,21,25,77.9%,10.37999963760376,70,10
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,90.1,484,537,80.8,21,26,76.8%,-1,67,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,91.9,692,753,86.2,25,29,80.38%,18.715999364852905,181,21
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,92.3,695,753,86.2,25,29,81.13%,-1,172,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/kbfiltr_simpl1.cil.c,81.9,235,287,83.3,10,12,59.68%,-1,20,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,82.9,403,486,88.2,15,17,65.0%,-1,68,-1
/home/administrator/Desktop/exp500_GA/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,74.6,303,406,33.3,2,6,73.93%,-1,183,-1
