program_name,c81,c82,c83,c84,c85,c86,c87,c88
cfiles32/array-fpi/brs1f.c,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31
cfiles32/array-fpi/condmf.c,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71
cfiles32/array-industry-pattern/array_of_struct_ptr_mul_init.i,45.45,45.45,45.45,45.45,45.45,45.45,45.45,45.45
cfiles32/array-lopstr16/break-1.i,54.55,54.55,54.55,54.55,54.55,54.55,54.55,54.55
cfiles32/array-tiling/mlceu.c,100,94.44333333,94.44333333,100,100,94.44333333,100,100
cfiles32/array-tiling/skipped.c,88.89,88.89,87.03666667,88.89,87.03666667,88.89,88.89,88.89
cfiles32/array-tiling/skippedu.c,94.44,94.44,94.44,92.59,94.44,94.44,94.44,92.59
cfiles32/array-tiling/tcpy.c,85.71,85.71,85.71,85.71,85.71,83.33,85.71,85.71
cfiles32/bitvector/gcd_1.c,70,50,50,50,50,70,50,70
cfiles32/bitvector/num_conversion_2.c,83.33,83.33,77.77666667,77.77666667,83.33,83.33,83.33,83.33
cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,76.99333333,76.63,77.9,76.99,77.17333333,77.17333333,77.71666667,77.53666667
cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,71.40333333,73.60333333,72.59,72.42,72.25,73.09666667,71.91,74.11
cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,80.43333333,79.89,81.34,81.34,80.07,80.43333333,80.79666667,80.79666667
cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,79.71,79.52666667,79.34666667,81.34,80.25333333,80.43333333,81.34,80.25
cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,80.98,80.61333333,80.43333333,80.61666667,81.34,79.52666667,81.16333333,80.79666667
cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,80.79666667,81.34333333,80.25333333,80.97666667,80.07,80.43333333,80.43333333,80.61666667
cfiles32/bitvector/soft_float_1-1.c.cil.c,65.35,64.03333333,65.35,64.91,60.96333333,62.71666667,65.35,64.47333333
cfiles32/bitvector/soft_float_1-2.c.cil.c,64.53,64.53,65.81,63.25,63.67666667,67.09333333,67.52333333,65.81333333
cfiles32/bitvector/soft_float_1-2a.c.cil.c,62.82,66.24,63.24666667,68.80333333,66.24,67.52333333,64.53,64.10333333
cfiles32/bitvector/soft_float_4-1.c.cil.c,59.09,59.09,59.09,59.09,58.33333333,59.09,59.09,59.09
cfiles32/bitvector/soft_float_4-2.c.cil.c,60.14666667,58.7,60.14666667,60.87,58.7,60.87,58.7,60.14666667
cfiles32/bitvector/soft_float_5.c.cil.c,66,65.33333333,65.33333333,62.66666667,61.33333333,62,66,61.33333333
cfiles32/bitvector/soft_float_5a.c.cil.c,65.33333333,66,64.66666667,66,64.66666667,66,60.66666667,66
cfiles32/combinations/Problem05_label43+token_ring.13.cil-1.c,49.57333333,42.11666667,50.27333333,49.66666667,51.91666667,42.50666667,51.38333333,50.36
cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,48.26,40.24333333,48.95333333,46.83666667,50.26,41.73666667,49.40666667,48.22
cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,48.01333333,38.35666667,47.86666667,44.58666667,48.30333333,38.48666667,47.41333333,45.47
cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,49.22666667,39.31,48.56666667,46.76333333,50.29,40.12333333,49.33666667,46.51666667
cfiles32/combinations/Problem05_label49+token_ring.07.cil-1.c,49.5,40.63666667,49.98,46.49666667,49.95,42.36,49.92333333,47.53333333
cfiles32/combinations/Problem05_label49+token_ring.10.cil-2.c,48.52666667,41.33,49.55333333,47.22333333,49.5,40.66333333,49.81666667,47.31666667
cfiles32/combinations/Problem05_label49+token_ring.13.cil-1.c,50.37333333,42.84,50.48666667,48.69333333,51.00666667,41.93,50.65,48.78
cfiles32/combinations/gcd_1+newton_1_2.i,62.5,62.5,75,62.5,75,62.5,62.5,75
cfiles32/combinations/gcd_1+newton_1_3.i,50,75,62.5,75,62.5,75,62.5,62.5
cfiles32/combinations/gcd_1+newton_1_4.i,68.75,68.75,81.25,81.25,81.25,68.75,56.25,81.25
cfiles32/combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,87.91333333,88.14,88.13666667,88.4,88.21333333,88.32666667,88.25,87.72666667
cfiles32/combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,88.25333333,88.17666667,88.4,87.83666667,88.21666667,88.47333333,88.13666667,88.44
