program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_GA/cfiles32/array-fpi/brs1f.c,16.7,3,18,25.0,1,4,92.31%,0.2560000419616699,3,6
/home/administrator/Desktop/exp500_GA/cfiles32/array-fpi/condmf.c,15.8,3,19,25.0,1,4,85.71%,1.371999979019165,3,10
/home/administrator/Desktop/exp500_GA/cfiles32/array-industry-pattern/array_of_struct_ptr_mul_init.i,0,0,0,0,0,0,45.45%,-1,68,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-lopstr16/break-1.i,66.7,8,12,33.3,1,3,54.55%,-1,4,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/mlceu.c,88.2,15,17,75.0,3,4,83.33%,-1,41,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/skipped.c,95.2,20,21,75.0,3,4,83.33%,-1,98,-1
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/skippedu.c,95.2,20,21,75.0,3,4,94.44%,4.767999887466431,89,7
/home/administrator/Desktop/exp500_GA/cfiles32/array-tiling/tcpy.c,95.0,19,20,75.0,3,4,85.71%,-1,40,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/gcd_1.c,90.0,18,20,75.0,3,4,70.0%,-1,4,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,66.67%,-1,1,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,89.2,322,361,66.7,2,3,76.63%,-1,197,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,82.9,320,386,66.7,2,3,70.56%,-1,184,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,85.4,305,357,66.7,2,3,81.52%,-1,160,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.8,307,358,66.7,2,3,80.98%,-1,174,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,85.4,305,357,66.7,2,3,81.52%,-1,175,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,84.9,304,358,66.7,2,3,78.26%,-1,210,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,61.84%,-1,75,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,58.97%,-1,70,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_1-2a.c.cil.c,69.4,118,170,66.7,4,6,69.23%,-1,77,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_4-1.c.cil.c,63.8,81,127,66.7,4,6,59.09%,-1,70,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,60.87%,-1,72,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1,83,-1
/home/administrator/Desktop/exp500_GA/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1,68,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,75.0%,-1,23,-1
/home/administrator/Desktop/exp500_GA/cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,75.0%,-1,26,-1
