program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/sarath/Desktop/exp500_GA/cfiles32/array-fpi/brs1f.c,16.7,3,18,25.0,1,4,92.31%,0.34800004959106445,3,8
/home/sarath/Desktop/exp500_GA/cfiles32/array-fpi/condmf.c,15.8,3,19,25.0,1,4,85.71%,2.0200002193450928,3,10
/home/sarath/Desktop/exp500_GA/cfiles32/array-industry-pattern/array_of_struct_ptr_mul_init.i,0,0,0,0,0,0,45.45%,-1,70,-1
/home/sarath/Desktop/exp500_GA/cfiles32/array-lopstr16/break-1.i,66.7,8,12,33.3,1,3,54.55%,-1,3,-1
/home/sarath/Desktop/exp500_GA/cfiles32/array-tiling/mlceu.c,88.2,15,17,75.0,3,4,83.33%,-1,39,-1
/home/sarath/Desktop/exp500_GA/cfiles32/array-tiling/skipped.c,95.2,20,21,75.0,3,4,88.89%,-1,87,-1
/home/sarath/Desktop/exp500_GA/cfiles32/array-tiling/skippedu.c,95.2,20,21,75.0,3,4,94.44%,1.4639999866485596,86,5
/home/sarath/Desktop/exp500_GA/cfiles32/array-tiling/tcpy.c,95.0,19,20,75.0,3,4,85.71%,-1,37,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/gcd_1.c,90.0,18,20,75.0,3,4,70.0%,-1,4,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1,1,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,89.2,322,361,66.7,2,3,75.54%,-1,187,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,83.7,323,386,66.7,2,3,72.08%,-1,190,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,85.7,306,357,66.7,2,3,81.52%,-1,179,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.5,306,358,66.7,2,3,79.89%,-1,175,-1
/home/sarath/Desktop/exp500_GA/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,85.2,304,357,66.7,2,3,79.35%,-1,167,-1
