program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,92.8,699,753,86.2,25,29,81.89%,-1,184,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/kbfiltr_simpl1.cil.c,82.9,238,287,83.3,10,12,61.29%,-1,19,-1
/home/administrator/Desktop/exp500_GA/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,82.7,402,486,88.2,15,17,64.0%,-1,65,-1
/home/administrator/Desktop/exp500_GA/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,74.6,303,406,33.3,2,6,74.88%,-1,137,-1
/home/administrator/Desktop/exp500_GA/cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,74.9,304,406,33.3,2,6,74.41%,-1,165,-1
/home/administrator/Desktop/exp500_GA/cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,72.2,299,414,33.3,2,6,69.41%,-1,106,-1
/home/administrator/Desktop/exp500_GA/cfiles32/openssl-simplified/s3_clnt_2.cil-1.c,88.7,307,346,66.7,2,3,75.43%,22.651999711990356,102,17
/home/administrator/Desktop/exp500_GA/cfiles32/openssl-simplified/s3_clnt_3.cil-3.c,88.2,313,355,66.7,2,3,75.43%,-1,100,-1
/home/administrator/Desktop/exp500_GA/cfiles32/openssl-simplified/s3_srvr_8.cil.c,74.2,294,396,66.7,2,3,64.11%,-1,176,-1
/home/administrator/Desktop/exp500_GA/cfiles32/psyco/psyco_abp_1-1.c,71.0,196,276,50.0,1,2,67.5%,-1,428,-1
/home/administrator/Desktop/exp500_GA/cfiles32/psyco/psyco_abp_1-2.c,72.6,199,274,50.0,1,2,68.69%,-1,562,-1
/home/administrator/Desktop/exp500_GA/cfiles32/psyco/psyco_abp_1-3.c,72.6,199,274,50.0,1,2,68.69%,-1,456,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.3.1.ufo.BOUNDED-6.pals.c,0,0,0,0,0,0,4.71%,-1,6,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.3.1.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,6.29%,-1,7,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.3.2.ufo.BOUNDED-6.pals.c,0,0,0,0,0,0,4.95%,-1,6,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.3.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,5.35%,-1,9,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.3_overflow.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,7.73%,-1,8,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.4.1.ufo.BOUNDED-8.pals.c,0,0,0,0,0,0,8.8%,-1,9,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.4.1.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,6.61%,-1,9,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_floodmax.4.2.ufo.BOUNDED-8.pals.c,0,0,0,0,0,0,7.02%,-1,12,-1
/home/administrator/Desktop/exp500_GA/cfiles32/seq-mthreaded/pals_lcr.3.ufo.BOUNDED-6.pals.c,0,0,0,0,0,0,9.59%,-1,10,-1
