mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__metric,param_estimator__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.14602370262145997,0.3608505198995725,0.02086954116821289,0.006006802049331882,euclidean,1,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 1}",0.7105263157894737,0.8333333333333331,0.7459954233409611,0.8947368421052634,0.8649885583524025,0.8993135011441649,0.874141876430206,0.7917620137299771,0.9084668192219679,0.8306636155606407,0.8353928299008391,0.06390505881509925,41
0.026926350593566895,0.0030084913321129247,0.018801236152648927,0.006121747224599814,euclidean,2,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 2}",0.756578947368421,0.7653508771929824,0.7643020594965675,0.8924485125858125,0.8855835240274599,0.8352402745995423,0.8764302059496567,0.8398169336384439,0.8970251716247141,0.8741418764302058,0.8386918382913807,0.05370355607300569,38
0.02628653049468994,0.0032028261482433098,0.021016430854797364,0.0036611393300193746,euclidean,3,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 3}",0.7434210526315791,0.8859649122807017,0.7574370709382151,0.931350114416476,0.8787185354691075,0.8558352402745996,0.8558352402745996,0.8123569794050343,0.8878718535469108,0.8558352402745996,0.8464626239511824,0.056117138428247976,22
0.027462267875671388,0.004077037245060926,0.022495841979980467,0.004355325343111116,euclidean,4,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 4}",0.7653508771929826,0.8881578947368421,0.6979405034324941,0.9336384439359267,0.8443935926773456,0.871853546910755,0.8306636155606406,0.8489702517162471,0.8970251716247141,0.8787185354691075,0.8456712433257056,0.0651703029652819,24
0.02695305347442627,0.002714082828150952,0.02380032539367676,0.003425051880161653,euclidean,5,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 5}",0.7587719298245614,0.8859649122807018,0.7437070938215103,0.9382151029748284,0.8741418764302058,0.8741418764302058,0.8581235697940501,0.8489702517162473,0.8672768878718536,0.8558352402745996,0.8505148741418764,0.05500793133055508,13
0.0344578742980957,0.01363600803031238,0.02681753635406494,0.002305679372711652,euclidean,6,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 6}",0.7894736842105263,0.8530701754385964,0.7025171624713958,0.9382151029748284,0.9016018306636155,0.8924485125858123,0.8649885583524027,0.826086956521739,0.9016018306636155,0.8627002288329519,0.8532704042715483,0.06417488419649243,6
0.029345941543579102,0.002925776831076833,0.024698877334594728,0.004839773195539648,euclidean,7,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 7}",0.787280701754386,0.857456140350877,0.7162471395881007,0.9382151029748284,0.9016018306636155,0.8878718535469108,0.8672768878718536,0.8329519450800916,0.8993135011441646,0.8649885583524027,0.8553203661327231,0.06059752885332818,3
0.02888925075531006,0.004148607045347043,0.02333664894104004,0.005240639992140766,euclidean,8,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 8}",0.7916666666666666,0.8530701754385964,0.6864988558352403,0.9176201372997712,0.8741418764302058,0.874141876430206,0.8535469107551489,0.7848970251716246,0.9061784897025172,0.8649885583524027,0.840675057208238,0.06530320296526167,33
0.03064126968383789,0.0037581361800839647,0.023848676681518556,0.004575495406836362,euclidean,9,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 9}",0.7828947368421052,0.8640350877192983,0.6933638443935928,0.919908466819222,0.8718535469107551,0.8718535469107551,0.8581235697940504,0.7848970251716247,0.8993135011441646,0.8627002288329519,0.840894355453852,0.06414492445338799,31
0.029352688789367677,0.0017320002261510647,0.02846825122833252,0.0016033572982052705,euclidean,10,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 10}",0.7894736842105264,0.8596491228070174,0.6819221967963387,0.8970251716247141,0.8649885583524027,0.8741418764302058,0.8489702517162471,0.7734553775743707,0.9405034324942791,0.8649885583524027,0.8395118230358504,0.06942707790723732,35
