program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_new/cfiles32/loop-simple/nested_5.c,86.7,13,15,50.0,1,2,91.67%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops/heavy-1.c,0,0,0,0,0,0,0,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops/insertion_sort-1.c,0,0,0,0,0,0,0,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops/sum01_bug02.i,0,0,0,0,0,0,77.78%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops/verisec_OpenSER_cases1_stripFullBoth_arr.i,0,0,0,0,0,0,57.89%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops-crafted-1/in-de61.c,93.1,27,29,66.7,2,3,0%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops-crafted-1/Mono3_1.c,0,0,0,0,0,0,83.33%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops-crafted-1/sumt2.c,77.3,17,22,50.0,2,4,70.0%,-1,12,-1
/home/administrator/Desktop/exp500_new/cfiles32/loops-crafted-1/watermelon.c,17.2,5,29,20.0,1,5,6.25%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench/cohendiv-ll.c,91.4,32,35,75.0,3,4,91.67%,-1,11,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench/cohendiv.c,91.4,32,35,75.0,3,4,91.67%,-1,15,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench/geo3.c,75.0,18,24,50.0,2,4,0%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench/lcm2.c,90.0,27,30,75.0,3,4,90.0%,-1,22,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench-scaling/cohendiv-ll_valuebound20.c,91.9,34,37,75.0,3,4,91.67%,-1,10,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench-scaling/fermat2-ll_unwindbound2.c,88.9,24,27,75.0,3,4,100.0%,0.34400010108947754,7,2
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench-scaling/geo2-ll_valuebound2.c,88.0,22,25,75.0,3,4,87.5%,-1,4,-1
/home/administrator/Desktop/exp500_new/cfiles32/nla-digbench-scaling/prodbin-ll_unwindbound5.c,0,0,0,0,0,0,80.0%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers/diskperf.i.cil-1.c,45.4,529,1165,26.8,26,97,23.92%,-1,32,-1
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,86.7,922,1064,93.1,27,29,68.31%,-1,75,-1
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,89.1,473,531,84.0,21,25,74.59%,0.7000000476837158,28,2
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,88.1,473,537,80.8,21,26,74.03%,-1,25,-1
/home/administrator/Desktop/exp500_new/cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,79.4,386,486,88.2,15,17,53.5%,-1,22,-1
/home/administrator/Desktop/exp500_new/cfiles32/openssl/s3_srvr.blast.06.i.cil-1.c,73.2,314,429,33.3,2,6,73.39%,0.307999849319458,45,16
/home/administrator/Desktop/exp500_new/cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,74.9,304,406,33.3,2,6,74.88%,-1,55,-1
