program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1,1,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,90.3,326,361,66.7,2,3,79.89%,-1,76,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,82.6,319,386,66.7,2,3,71.07%,-1,88,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,85.2,305,358,66.7,2,3,79.35%,-1,40,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,82.4,294,357,66.7,2,3,72.83%,-1,36,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,84.6,303,358,66.7,2,3,78.8%,-1,39,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,68.42%,-1,28,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,60.26%,-1,27,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_1-2a.c.cil.c,69.4,118,170,66.7,4,6,69.23%,-1,31,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,60.87%,-1,30,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,64.0%,-1,32,-1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1,25,-1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,55.3,6187,11196,95.7,44,46,47.38%,-1,1430,-1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,56.2,6089,10837,93.8,30,32,47.65%,15.348000288009644,1459,1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,57.2,6313,11045,95.0,38,40,49.59%,15.604000568389893,1355,1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.07.cil-1.c,55.8,6192,11092,95.2,40,42,47.69%,-1,1285,-1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.10.cil-2.c,54.9,6177,11248,95.8,46,48,46.76%,-1,1294,-1
