program_name,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c1,c2,c3,c4,c5,c6,c7,c8,c9
seq-mthreaded/pals_lcr.3.ufo.BOUNDED-6.pals.c,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.4.1.ufo.BOUNDED-8.pals.c,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
seq-mthreaded/pals_lcr.6.1.ufo.BOUNDED-12.pals.c,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.6.1.ufo.UNBOUNDED.pals.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.8.1.ufo.BOUNDED-16.pals.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.8.1.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.8_overflow.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.BOUNDED-10.pals.c,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.UNBOUNDED.pals.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
seq-mthreaded/pals_lcr-var-start-time.5.ufo.BOUNDED-10.pals.c,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
seq-mthreaded/pals_opt-floodmax.3.1.ufo.BOUNDED-6.pals.c,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
seq-mthreaded/pals_opt-floodmax.4.1.ufo.BOUNDED-8.pals.c,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
seq-pthread/cs_lazy.i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seq-pthread/cs_stateful-1.i,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
systemc/token_ring.04.cil-2.c,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
systemc/token_ring.06.cil-1.c,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
xcsp/AllInterval-005.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
xcsp/AllInterval-006.c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-008.c,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
xcsp/AllInterval-009.c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
xcsp/AllInterval-010.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-011.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
xcsp/AllInterval-012.c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-014.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-015.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-018.c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
xcsp/AllInterval-019.c,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
