,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c1,c2,c3,c4,c5,c6,c7,c8,c9
c10,1.0,0.28913431573043774,0.16173770851424774,0.3772019644402847,0.2653578525613409,0.1863691283487977,0.2516751854497259,0.30299448705567716,0.15701040091833574,0.19211836730202492,0.2735186676810078,0.40453827471595893,0.32189912646518243,0.37105627177513056,0.3059298369447314,0.23801057027755113,0.15701040091833574,0.23801057027755113,0.29112935702365783
c11,0.28913431573043774,1.0,0.21980229567059711,0.42865492715593545,0.34133155311850116,0.39797317507388413,0.4096487135520653,0.2953934817598546,0.290025790861771,0.2636165577342053,0.35635103938090396,0.326312049545908,0.2506201458708775,0.31089070265607816,0.2829444441605652,0.3013456439945193,0.32318841512133734,0.23247828248664396,0.3557189167199555
c12,0.16173770851424774,0.21980229567059711,1.0,0.293495277657144,0.3110910415113749,0.18979863144347378,0.25463378862560293,0.11094867619222837,0.19106273574131213,0.21980229567059711,0.3284652988914475,0.24825498374971525,0.24843283145937498,0.2036885876490028,0.21456576582491674,0.2667655662166647,0.2597640173163802,0.23109833465763302,0.32100871480705745
c13,0.3772019644402847,0.42865492715593545,0.293495277657144,0.9999999999999998,0.3452500547428809,0.28300639712126846,0.24833703984007072,0.34621102856542035,0.3251048715972505,0.2920350635267923,0.41739388049971776,0.3480854291319914,0.3999750023435059,0.324039210139001,0.3556656161236132,0.281430575574818,0.3251048715972505,0.28143057557481793,0.3999750023435059
c14,0.2653578525613409,0.34133155311850116,0.3110910415113749,0.3452500547428809,1.0000000000000002,0.2306652308513142,0.3149566314402793,0.2618254003493337,0.18248827320582447,0.3076959656683395,0.3339642956605596,0.3622847530534761,0.219102853943212,0.3992650489100994,0.2725850832399912,0.4191699378618363,0.24307868218771786,0.2304317864444728,0.34711800456171865
c15,0.1863691283487977,0.39797317507388413,0.18979863144347378,0.28300639712126846,0.2306652308513142,1.0,0.2820159459918184,0.2811619916375345,0.21532041537469535,0.31967577508845185,0.3563636331976551,0.23214535977340348,0.23495798457511347,0.3004103079994545,0.31065406054735956,0.1817615555644837,0.3916244376533953,0.14514927559976626,0.3467062943120581
c16,0.2516751854497259,0.4096487135520653,0.25463378862560293,0.24833703984007072,0.3149566314402793,0.2820159459918184,1.0,0.3869656521996058,0.3509719341617489,0.37749328736056553,0.3509719341617489,0.3320366838158308,0.25182396555267655,0.33144841986931345,0.35585912909930223,0.4097990365986513,0.2930478551838821,0.10907807617671494,0.404801140888415
c17,0.30299448705567716,0.2953934817598546,0.11094867619222837,0.34621102856542035,0.2618254003493337,0.2811619916375345,0.3869656521996058,0.9999999999999998,0.37119943667012856,0.2953934817598546,0.3393554240826911,0.24938663737556124,0.34416251560872674,0.36699542241304767,0.43382467014194787,0.22421272569375258,0.3075114114952535,0.22421272569375256,0.34416251560872674
c18,0.15701040091833574,0.290025790861771,0.19106273574131213,0.3251048715972505,0.18248827320582447,0.21532041537469535,0.3509719341617489,0.37119943667012856,1.0000000000000002,0.3895136636404705,0.2831389183457055,0.3764089282621875,0.2645662240524872,0.31629020327085505,0.3447902342524164,0.3982275932867672,0.19353128313891899,0.2741714398020422,0.2014586843702428
c19,0.19211836730202492,0.2636165577342053,0.21980229567059711,0.2920350635267923,0.3076959656683395,0.31967577508845185,0.37749328736056553,0.2953934817598546,0.3895136636404705,1.0,0.35635103938090396,0.43558563549027796,0.3557189167199555,0.2414385826972187,0.3168336086277056,0.33577932474845684,0.256863166602205,0.3013456439945193,0.2856530694872369
c1,0.2735186676810078,0.35635103938090396,0.3284652988914475,0.41739388049971776,0.3339642956605596,0.3563636331976551,0.3509719341617489,0.3393554240826911,0.2831389183457055,0.35635103938090396,1.0000000000000002,0.3107945818193717,0.3592275335758537,0.2537354410089777,0.40583743130706107,0.2741714398020422,0.37274655355249203,0.24315740143086012,0.4223350732580995
c2,0.40453827471595893,0.326312049545908,0.24825498374971525,0.3480854291319914,0.3622847530534761,0.23214535977340348,0.3320366838158308,0.24938663737556124,0.3764089282621875,0.43558563549027796,0.3107945818193717,0.9999999999999997,0.4132231551804141,0.3337812068576328,0.4054851649352984,0.3579807115159462,0.2451802353765562,0.22172228753802956,0.2745934515069849
c3,0.32189912646518243,0.2506201458708775,0.24843283145937498,0.3999750023435059,0.219102853943212,0.23495798457511347,0.25182396555267655,0.34416251560872674,0.2645662240524872,0.3557189167199555,0.3592275335758537,0.4132231551804141,1.0,0.2897472836319485,0.3571760781891264,0.31251016243638574,0.32767376373473206,0.3780364868182084,0.33333333333333337
c4,0.37105627177513056,0.31089070265607816,0.2036885876490028,0.324039210139001,0.3992650489100994,0.3004103079994545,0.33144841986931345,0.36699542241304767,0.31629020327085505,0.2414385826972187,0.2537354410089777,0.3337812068576328,0.2897472836319485,1.0,0.44180282372243634,0.36684631794433736,0.31629020327085505,0.269417777767397,0.32278864053734646
c5,0.3059298369447314,0.2829444441605652,0.21456576582491674,0.3556656161236132,0.2725850832399912,0.31065406054735956,0.35585912909930223,0.43382467014194787,0.3447902342524164,0.3168336086277056,0.40583743130706107,0.4054851649352984,0.3571760781891264,0.44180282372243634,0.9999999999999996,0.398325489833663,0.43636102983438313,0.23985795739042187,0.3894211408034218
c6,0.23801057027755113,0.3013456439945193,0.2667655662166647,0.281430575574818,0.4191699378618363,0.1817615555644837,0.4097990365986513,0.22421272569375258,0.3982275932867672,0.33577932474845684,0.2741714398020422,0.3579807115159462,0.31251016243638574,0.36684631794433736,0.398325489833663,1.0000000000000002,0.24315740143086015,0.1949314024390242,0.2797470002454747
