program_name,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c1,c2,c3,c4,c5,c6,c7,c8,c9
/home/administrator/Desktop/exp500_new/cfiles32/array-lopstr16/break-1.i,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
/home/administrator/Desktop/exp500_new/cfiles32/array-tiling/mlceu.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/administrator/Desktop/exp500_new/cfiles32/array-tiling/skipped.c,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
/home/administrator/Desktop/exp500_new/cfiles32/array-tiling/skippedu.c,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0
/home/administrator/Desktop/exp500_new/cfiles32/array-tiling/tcpy.c,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/gcd_1.c,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/s3_srvr_3.BV.c.cil.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/administrator/Desktop/exp500_new/cfiles32/bitvector/soft_float_4-1.c.cil.c,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label43+token_ring.13.cil-1.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/home/administrator/Desktop/exp500_new/cfiles32/combinations/Problem05_label49+token_ring.13.cil-1.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/home/administrator/Desktop/exp500_new/cfiles32/eca-rers2012/Problem16_label06.c,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0
/home/administrator/Desktop/exp500_new/cfiles32/eca-rers2012/Problem16_label07.c,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0
/home/administrator/Desktop/exp500_new/cfiles32/float-benchs/sin_interpolated_bigrange_loose.c,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
/home/administrator/Desktop/exp500_new/cfiles32/float-newlib/double_req_bl_0660b.c,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1
/home/administrator/Desktop/exp500_new/cfiles32/float-newlib/float_req_bl_0660a.c,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
/home/administrator/Desktop/exp500_new/cfiles32/float-newlib/float_req_bl_0661a.c,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1
/home/administrator/Desktop/exp500_new/cfiles32/float-newlib/float_req_bl_0661b.c,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
/home/administrator/Desktop/exp500_new/cfiles32/floats-cdfpl/sine_4.i,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
/home/administrator/Desktop/exp500_new/cfiles32/ldv-regression/test22-2.c,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
/home/administrator/Desktop/exp500_new/cfiles32/loop-invariants/linear-inequality-inv-a.c,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
