program_name,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,time_difference,num_queue_files,num_crash_files
/cfiles32/bitvector/num_conversion_2.c,88.2,15,17,66.7,2,3,83.33%,-1.0,1,-1
/cfiles32/bitvector/s3_srvr_2_alt.BV.c.cil.c,88.9,321,361,66.7,2,3,75.54%,-1.0,84,-1
/cfiles32/bitvector/s3_srvr_2a_alt.BV.c.cil.c,84.5,326,386,66.7,2,3,72.08%,-1.0,86,-1
/cfiles32/bitvector/s3_srvr_3_alt.BV.c.cil.c,83.8,300,358,66.7,2,3,76.63%,-1.0,39,-1
/cfiles32/bitvector/s3_srvr_3a.BV.c.cil.c,85.2,304,357,66.7,2,3,78.8%,-1.0,65,-1
/cfiles32/bitvector/s3_srvr_3a_alt.BV.c.cil.c,85.2,305,358,66.7,2,3,78.8%,-1.0,55,-1
/cfiles32/bitvector/soft_float_1-1.c.cil.c,69.2,117,169,66.7,4,6,65.79%,-1.0,26,-1
/cfiles32/bitvector/soft_float_1-2.c.cil.c,69.9,121,173,71.4,5,7,69.23%,-1.0,27,-1
/cfiles32/bitvector/soft_float_1-2a.c.cil.c,68.2,116,170,66.7,4,6,69.23%,-1.0,31,-1
/cfiles32/bitvector/soft_float_4-2.c.cil.c,64.9,85,131,71.4,5,7,60.87%,-1.0,33,-1
/cfiles32/bitvector/soft_float_5.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,30,-1
/cfiles32/bitvector/soft_float_5a.c.cil.c,69.7,92,132,66.7,4,6,66.0%,-1.0,32,-1
/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,58.0,6492,11196,95.7,44,46,50.58%,-1.0,1450,-1
/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,55.1,5972,10837,93.8,30,32,46.25%,18.664000034332275,1377,1
/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,57.8,6380,11045,95.0,38,40,50.29%,40.44000029563904,1472,1
/cfiles32/combinations/Problem05_label49+token_ring.07.cil-1.c,57.5,6374,11092,95.2,40,42,49.57%,-1.0,1477,-1
/cfiles32/combinations/Problem05_label49+token_ring.10.cil-2.c,57.9,6511,11248,95.8,46,48,50.51%,-1.0,1501,-1
/cfiles32/combinations/gcd_1+newton_1_2.i,92.1,35,38,88.9,8,9,75.0%,-1.0,5,-1
/cfiles32/combinations/gcd_1+newton_1_3.i,92.1,35,38,88.9,8,9,75.0%,-1.0,5,-1
/cfiles32/combinations/gcd_1+newton_1_4.i,92.1,35,38,88.9,8,9,81.25%,4.380000114440918,5,1
/cfiles32/combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,95.8,3934,4107,42.9,6,14,87.95%,-1.0,1604,-1
/cfiles32/combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,95.8,3934,4106,42.9,6,14,88.63%,-1.0,1635,-1
/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label06.c,95.7,3933,4108,40.0,6,15,88.41%,30.94800043106079,1680,16
/cfiles32/combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label07.c,95.7,3933,4108,40.0,6,15,88.41%,20.588000297546387,1649,10
