program_name,c100,c10,c11,c12,c13,c14,c15,c16,c17,c18,c1,c2,c3,c4,c5,c6,c7,c8,c9
/cfiles32/array-cav19/array_doub_access_init_const.c,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
/cfiles32/array-cav19/array_init_both_ends_multiple_sum.c,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
/cfiles32/array-cav19/array_init_pair_symmetr.c,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
/cfiles32/array-cav19/array_min_and_copy_shift_sum_add.c,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67
/cfiles32/array-crafted/bor1.i,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78
/cfiles32/array-crafted/zero_sum2.c,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
/cfiles32/array-crafted/zero_sum_const2.c,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
/cfiles32/array-crafted/zero_sum_const5.c,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29
/cfiles32/array-crafted/zero_sum_m5.c,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29
/cfiles32/array-examples/data_structures_set_multi_proc_ground-2.i,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
/cfiles32/array-examples/sanfoundry_02_ground.i,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
/cfiles32/array-examples/sanfoundry_10_ground.c,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
