program_name,c100,c10,c11,c12,c13,c14,c15,c16,c17,c18,c1,c2,c3,c4,c5,c6,c7,c8,c9
array-cav19/array_doub_access_init_const.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_init_both_ends_multiple_sum.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_init_pair_symmetr.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_min_and_copy_shift_sum_add.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/bor1.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_const2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_const5.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_m5.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/data_structures_set_multi_proc_ground-2.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/sanfoundry_02_ground.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/sanfoundry_10_ground.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_copyInitSum_ground.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_init1_ground-2.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_partial_init_ground.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_vararg_ground.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/brs1.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/brs1f.c,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
array-fpi/brs3.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/condm.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/condmf.c,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
array-fpi/eqn1.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn3.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/res1o.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s2lif.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s52if.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s5if.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_flag_init.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_monotonic.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_mul_init.i,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_single_elem_init.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_ptr_single_elem_init-1.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_single_elem_init.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/break-1.i,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1
array-lopstr16/break-2.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/flag_loopdep.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/flag_loopdep_simple.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/scalar_loopdep.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/single_elem_safe.i,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array1_pattern.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array8_pattern.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array9_pattern.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_1.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_3.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_4.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_5.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_1.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_3.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_5.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/mlceu.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
array-tiling/pnr4.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/revcpyswp2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rew.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnif.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnifrev.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnifrev2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewrev.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/skipped.c,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0
array-tiling/skippedu.c,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0
array-tiling/tcpy.c,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
bitvector/gcd_1.c,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1
bitvector/num_conversion_2.c,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
bitvector/s3_srvr_2_alt.BV.c.cil.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bitvector/s3_srvr_2a_alt.BV.c.cil.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bitvector/s3_srvr_3.BV.c.cil.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bitvector/s3_srvr_3_alt.BV.c.cil.c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bitvector/s3_srvr_3a.BV.c.cil.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitvector/s3_srvr_3a_alt.BV.c.cil.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bitvector/soft_float_1-1.c.cil.c,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
bitvector/soft_float_1-2.c.cil.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bitvector/soft_float_1-2a.c.cil.c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bitvector/soft_float_4-1.c.cil.c,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1
bitvector/soft_float_4-2.c.cil.c,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
bitvector/soft_float_5.c.cil.c,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
bitvector/soft_float_5a.c.cil.c,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1
bitvector-regression/implicitunsignedconversion-2.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
combinations/gcd_1+newton_1_2.i,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1
combinations/gcd_1+newton_1_3.i,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
combinations/gcd_1+newton_1_4.i,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0
combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label06.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label07.c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label02.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label04.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label07.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label08.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label09.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label04.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label05.c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label09.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label01.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label02.c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label04.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label05.c,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label09.c,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label02.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label04.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label05.c,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label00.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
combinations/Problem05_label43+token_ring.13.cil-1.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/Problem05_label45+token_ring.09.cil-1.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
combinations/Problem05_label49+token_ring.02.cil-2.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
combinations/Problem05_label49+token_ring.06.cil-1.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/Problem05_label49+token_ring.07.cil-1.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/Problem05_label49+token_ring.10.cil-2.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
combinations/Problem05_label49+token_ring.13.cil-1.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
combinations/square_1+soft_float_4-2a.c.cil.c,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
combinations/square_2+soft_float_1-2a.c.cil.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/square_2+soft_float_2a.c.cil.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
combinations/square_2+soft_float_4-2a.c.cil.c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
combinations/square_3+soft_float_4-2a.c.cil.c,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eca-rers2012/Problem01_label00.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label57.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label58.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label59.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label21.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label22.c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
