program_name,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c1,c2,c3,c4,c5,c6,c7,c8,c9
systemc/token_ring.06.cil-1.c,1120,30,125,2100,20,1,93,5,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
systemc/token_ring.04.cil-2.c,870,26,93,1628,17,1,67,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
xcsp/AllInterval-019.c,560,3,2,3130,8,0,18,416,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
xcsp/AllInterval-012.c,278,3,2,1492,8,0,11,178,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-005.c,94,3,2,442,8,0,4,38,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
xcsp/AllInterval-011.c,246,3,2,1306,8,0,10,152,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.6.1.ufo.UNBOUNDED.pals.c,506,12,74,1943,88,1,34,42,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.4.1.ufo.BOUNDED-8.pals.c,1268,10,235,3769,74,1,44,48,4,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
seq-mthreaded/pals_lcr.6.1.ufo.BOUNDED-12.pals.c,504,12,73,1947,88,1,33,43,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.4.1.ufo.BOUNDED-8.pals.c,351,9,48,1324,54,1,23,26,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
seq-pthread/cs_stateful-1.i,814,24,66,3748,13,2,25,43,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.BOUNDED-10.pals.c,473,11,73,1804,72,1,31,42,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.8_overflow.ufo.UNBOUNDED.pals.c,672,14,102,2660,130,1,43,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
xcsp/AllInterval-015.c,387,3,2,2122,8,0,14,268,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-008.c,161,3,2,820,8,0,7,86,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
seq-mthreaded/pals_lcr.3.ufo.BOUNDED-6.pals.c,280,8,37,1041,40,1,18,19,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
xcsp/AllInterval-014.c,349,3,2,1900,8,0,13,236,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-010.c,215,3,2,1132,8,0,9,128,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-pthread/cs_lazy.i,807,25,64,3709,13,2,24,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.8.1.ufo.UNBOUNDED.pals.c,675,14,103,2648,130,1,44,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.UNBOUNDED.pals.c,475,11,74,1800,72,1,32,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
xcsp/AllInterval-009.c,187,3,2,970,8,0,8,106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
seq-mthreaded/pals_opt-floodmax.3.1.ufo.BOUNDED-6.pals.c,573,8,94,1966,54,1,31,30,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
xcsp/AllInterval-006.c,115,3,2,556,8,0,5,52,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr-var-start-time.5.ufo.BOUNDED-10.pals.c,476,11,74,1829,72,1,32,44,4,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
seq-mthreaded/pals_lcr.8.1.ufo.BOUNDED-16.pals.c,673,14,102,2652,130,1,43,64,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xcsp/AllInterval-018.c,513,3,2,2860,8,0,17,376,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
