program_name,config,line_coverage,line_covered,total_lines,function_coverage,function_covered,total_functions,branch_coverage,error_cover,time_difference,num_queue_files,num_crash_files
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,c17,0,0,0,0,0,0,7.2%,UNKNOWN,-1,149,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,c18,0,0,0,0,0,0,6.95%,UNKNOWN,-1,141,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,c67,0,0,0,0,0,0,6.02%,UNKNOWN,-1,145,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,c68,0,0,0,0,0,0,7.12%,UNKNOWN,-1,150,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.UNBOUNDED.pals.c,c13,0,0,0,0,0,0,6.9%,UNKNOWN,-1,142,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.UNBOUNDED.pals.c,c14,0,0,0,0,0,0,6.9%,UNKNOWN,-1,119,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.UNBOUNDED.pals.c,c63,0,0,0,0,0,0,6.81%,UNKNOWN,-1,142,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.UNBOUNDED.pals.c,c64,0,0,0,0,0,0,6.73%,UNKNOWN,-1,133,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5_overflow.ufo.UNBOUNDED.pals.c,c7,0,0,0,0,0,0,5.77%,UNKNOWN,-1,60,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5_overflow.ufo.UNBOUNDED.pals.c,c8,0,0,0,0,0,0,6.62%,UNKNOWN,-1,52,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5_overflow.ufo.UNBOUNDED.pals.c,c57,0,0,0,0,0,0,5.51%,UNKNOWN,-1,57,-1
/home/administrator/Desktop/exp20_equality/cfiles32/seq-mthreaded/pals_opt-floodmax.5_overflow.ufo.UNBOUNDED.pals.c,c58,0,0,0,0,0,0,5.6%,UNKNOWN,-1,69,-1
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.04.cil-2.c,c5,82.2,281,342,92.3,24,26,74.58%,TRUE,82.3680009841919,379,2
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.04.cil-2.c,c6,82.2,281,342,92.3,24,26,73.45%,TRUE,44.46400046348572,393,2
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.04.cil-2.c,c55,82.2,281,342,92.3,24,26,72.32%,TRUE,37.02000021934509,105,1
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.04.cil-2.c,c56,82.2,281,342,92.3,24,26,74.58%,TRUE,48.016000509262085,114,1
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.06.cil-1.c,c13,83.2,371,446,93.3,28,30,73.64%,TRUE,68.50000071525574,62,1
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.06.cil-1.c,c14,83.2,371,446,93.3,28,30,74.48%,TRUE,24.228000164031982,69,1
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.06.cil-1.c,c63,83.2,371,446,93.3,28,30,74.48%,TRUE,27.92400026321411,83,1
/home/administrator/Desktop/exp20_equality/cfiles32/systemc/token_ring.06.cil-1.c,c64,83.2,371,446,93.3,28,30,73.64%,TRUE,1.303999900817871,71,1
