,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c1,c2,c3,c4,c5,c6,c7,c8,c9
c10,1.00,0.29,0.16,0.38,0.27,0.19,0.25,0.30,0.16,0.19,0.27,0.40,0.32,0.37,0.31,0.24,0.16,0.24,0.29
c11,0.29,1.00,0.22,0.43,0.34,0.40,0.41,0.30,0.29,0.26,0.36,0.33,0.25,0.31,0.28,0.30,0.32,0.23,0.36
c12,0.16,0.22,1.00,0.29,0.31,0.19,0.25,0.11,0.19,0.22,0.33,0.25,0.25,0.20,0.21,0.27,0.26,0.23,0.32
c13,0.38,0.43,0.29,1.00,0.35,0.28,0.25,0.35,0.33,0.29,0.42,0.35,0.40,0.32,0.36,0.28,0.33,0.28,0.40
c14,0.27,0.34,0.31,0.35,1.00,0.23,0.31,0.26,0.18,0.31,0.33,0.36,0.22,0.40,0.27,0.42,0.24,0.23,0.35
c15,0.19,0.40,0.19,0.28,0.23,1.00,0.28,0.28,0.22,0.32,0.36,0.23,0.23,0.30,0.31,0.18,0.39,0.15,0.35
c16,0.25,0.41,0.25,0.25,0.31,0.28,1.00,0.39,0.35,0.38,0.35,0.33,0.25,0.33,0.36,0.41,0.29,0.11,0.40
c17,0.30,0.30,0.11,0.35,0.26,0.28,0.39,1.00,0.37,0.30,0.34,0.25,0.34,0.37,0.43,0.22,0.31,0.22,0.34
c18,0.16,0.29,0.19,0.33,0.18,0.22,0.35,0.37,1.00,0.39,0.28,0.38,0.26,0.32,0.34,0.40,0.19,0.27,0.20
c19,0.19,0.26,0.22,0.29,0.31,0.32,0.38,0.30,0.39,1.00,0.36,0.44,0.36,0.24,0.32,0.34,0.26,0.30,0.29
c1,0.27,0.36,0.33,0.42,0.33,0.36,0.35,0.34,0.28,0.36,1.00,0.31,0.36,0.25,0.41,0.27,0.37,0.24,0.42
c2,0.40,0.33,0.25,0.35,0.36,0.23,0.33,0.25,0.38,0.44,0.31,1.00,0.41,0.33,0.41,0.36,0.25,0.22,0.27
c3,0.32,0.25,0.25,0.40,0.22,0.23,0.25,0.34,0.26,0.36,0.36,0.41,1.00,0.29,0.36,0.31,0.33,0.38,0.33
c4,0.37,0.31,0.20,0.32,0.40,0.30,0.33,0.37,0.32,0.24,0.25,0.33,0.29,1.00,0.44,0.37,0.32,0.27,0.32
c5,0.31,0.28,0.21,0.36,0.27,0.31,0.36,0.43,0.34,0.32,0.41,0.41,0.36,0.44,1.00,0.40,0.44,0.24,0.39
c6,0.24,0.30,0.27,0.28,0.42,0.18,0.41,0.22,0.40,0.34,0.27,0.36,0.31,0.37,0.40,1.00,0.24,0.19,0.28
c7,0.16,0.32,0.26,0.33,0.24,0.39,0.29,0.31,0.19,0.26,0.37,0.25,0.33,0.32,0.44,0.24,1.00,0.24,0.36
c8,0.24,0.23,0.23,0.28,0.23,0.15,0.11,0.22,0.27,0.30,0.24,0.22,0.38,0.27,0.24,0.19,0.24,1.00,0.12
c9,0.29,0.36,0.32,0.40,0.35,0.35,0.40,0.34,0.20,0.29,0.42,0.27,0.33,0.32,0.39,0.28,0.36,0.12,1.00
