program_name,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth
array-lopstr16/break-1.i,38,3,6,194,12,1,0,5,3
array-tiling/mlceu.c,49,4,7,196,11,1,1,5,4
array-tiling/skipped.c,57,4,10,265,14,1,1,9,4
array-tiling/skippedu.c,57,4,10,257,14,1,1,9,4
array-tiling/tcpy.c,53,4,8,246,13,1,2,6,4
bitvector/gcd_1.c,49,4,6,165,9,1,2,4,4
bitvector/num_conversion_2.c,41,3,4,149,11,1,1,2,4
bitvector/s3_srvr_2_alt.BV.c.cil.c,697,3,101,1511,96,1,45,28,4
bitvector/s3_srvr_2a_alt.BV.c.cil.c,698,3,101,1523,96,1,45,28,4
bitvector/s3_srvr_3.BV.c.cil.c,695,3,101,1486,96,1,45,27,4
bitvector/s3_srvr_3_alt.BV.c.cil.c,696,3,101,1490,96,1,45,27,4
bitvector/s3_srvr_3a.BV.c.cil.c,696,3,101,1494,96,1,45,27,4
bitvector/s3_srvr_3a_alt.BV.c.cil.c,697,3,101,1498,96,1,45,27,4
bitvector/soft_float_1-1.c.cil.c,355,6,40,1032,16,1,6,30,5
bitvector/soft_float_1-2.c.cil.c,360,7,41,1065,16,1,6,31,5
bitvector/soft_float_1-2a.c.cil.c,357,6,41,1051,16,1,6,31,5
bitvector/soft_float_4-1.c.cil.c,262,6,24,824,13,1,3,16,5
bitvector/soft_float_4-2.c.cil.c,267,7,25,857,13,1,3,17,5
bitvector/soft_float_5.c.cil.c,276,6,27,837,13,1,4,17,4
bitvector/soft_float_5a.c.cil.c,276,6,27,837,13,1,4,17,4
combinations/Problem05_label43+token_ring.13.cil-1.c,13154,54,2137,103932,234,1,17808,11,12
combinations/Problem05_label45+token_ring.09.cil-1.c,12642,46,2068,102956,234,1,17755,7,12
combinations/Problem05_label49+token_ring.02.cil-2.c,11779,32,1961,101336,234,1,17665,11,12
